Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
9/8/19,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,,"I was sold access to an event digitally, of which I have all the screenshots to detail the transactions, transferred the money and was provided with only a fake of a ticket. I have reported this to paypal and it was for the amount of {$21.00} including a {$1.00} fee from paypal. 

This occured on 34/34/2019, by paypal user who gave two accounts : 1 ) 3434 2 ) 3434 3434",,"Paypal Holdings, Inc",RI,2998,Consent provided,Web,9/8/19,Closed with explanation,Yes,N/A,3366475
3/5/19,Mortgage,Conventional home mortgage,Trouble during payment process,,"This complaint dates back to last 34/34/3434 during a loan modification which was done with 3434 ( Account # 3434 ) my previous loan servicer this was after a 2 month forbearance after Hurricane Irma. They had indicated a shortage to my escrow account in the loan modification documents. I was provided different information every time I spoke on the phone with a 3434   representative. One would say I had an overage, others would say I had a shortage. The modification documents indicated at {$1900.00} shortage. I called, I emailed and wrote letters, I requested a Escrow review of my account in 3434 and 3434 and was told one would be done. They kept delaying and I finally had to sign the Modification documents on 34/34/3434 under duress otherwise the Modification would be withdrawn. No review of my escrow was ever done by 3434, I discovered what appears to be an error when I reviewed the two Escrow Disclosure statements from 3434 for 3434 and 3434. The Escrow balance for 34/34/3434 shows an actual escrow balance of {$2200.00}, the next statement shows a 3434 actual balance for 3434, a difference of 3434 when only 3434 should have been withdrawn from this account to pay for the monthly mortgage insurance. I have recently contacted by phone and email to 3434 and they have not responded. 

In 34/34/3434 my loan servicing was transferred to Mr Cooper ( Formerly Nationstar Mortgage. ) ( Account # 3434 ). Mr Cooper did do a escrow analysis in 3434 of 3434. That analysis was completely mishandled and they indicate a shortage of 3434 in my account. Even though my account is currently at a 3434 deficit as of 34/34/3434. Their major errors was their analysis to my Hazard insurance and Morgage insurance. They indicated the Hazard insurance was 3434 last year ( when it was actually 3434 ) and this year the correct amount of 3434. The Mortgage insurance they again misquoted last year at 3434 ( the actual was 3434 ) and listed this year the correct amount at 3434 so they are showing a difference from last year to this year of 3434 increase. This is totally wrong. They are demanding the difference be paid in a lump sum or have my monthly payment increased to cover the shortage over a year period. I have contacted Mr Cooper by phone on  34/34/3434 and was told someone would look at it but no one from their Escrow will call, just an email. I have also sent a letter stating the error. The new charges will be taking effect in 3434 so something needs to happen quickly. The simple facts are that my Hazard insurance has gone down from 3434 to 3434. My taxes did go up from 3434 to 3434, so the net effect of the two is only 3434. I am already paying one shortage based on 3434 miscalculation and that was to be spread out over 5 years. 
I want both 3434 and Mr Copper to correct the errors made to my escrow account and have 3434 send the deficiency to Mr Cooper post haste. I want Mr Cooper to revise the shortage based on all of this information. 
Contact Information : 3434 : 3434 3434 3434 3434, NJ 3434 Phone 3434 3434 3434 : 3434 3434 3434 3434. 3434, Tx. 3434 Phone 3434",,NATIONSTAR MORTGAGE,FL,33923,Consent provided,Web,3/11/19,Closed with explanation,Yes,N/A,3170293
4/7/20,Debt collection,Mortgage debt,False statements or representation,Attempted to collect wrong amount,"I received an email from a 3434 3434 along with a single page attached on 34/34/3434. The email read The final pay off amount for 3434, 3434 will be {$86000.00} This information is provided by 3434 3434 on 3434. It was emailed from 3434. The subject line read Re : 3434 3434 3434 ( Payoff amount for 3434 and insurance info.The insurance info was a single page showing coverage of {$77000.00} on a single story dwelling from a 3434 34343434 3434 listing my home address and 3434 3434, 3434 3434 , as registered agent. 3434 3434 was the insured. I responded to that email disagreeing with the amount and asked for some sort of statement of accounting because 3434 3434 was asking for more than the {$85000.00} financed and I had made payments for 5 years and 7 months consecutively. She responded with just saying no she was correct. On or around 3434 3434, 3434 3434 3434 3434 3434 Attorney In Fact for a 3434 3434 mailed me a Notice of substitute trustee sale The notice had a sale date of 3434 3434, 3434 A date of 34/34/3434 An amount of {$95000.00} Borrower 3434 3434 3434 3434 3434 Collateral : All of Debtors interest in the real property legal described as : 3434 3434 3434  3434 3434 3434 3434  3434 3434 according to the map and plat there of recorded in the Deed Anns Plat Records 3434 County , Texas . The Note section is blank. This is dated 34/34/3434 and has a file stamp of 34/34/3434 in 3434 County Records. 3434 3434 never lended me any money. I was the only person providing money in the purchase of my home. I was in a TREC   contract with 3434 3434 for my home. It was already signed by us both for the home {$85000.00} financed for 360 months no balloon payment ; until I received 34/34/3434 closing documents showing a balloon payment due 3434 3434, payments of {$850.00} every month/ {$600.00} being the house payment and the other being taxes. I am wanting to see the bank statements and escrow accounting for the time period of 34/34/3434 thru 3434, 3434 and the payment records for taxes, and all transfer records. And the proof that 3434 3434 has showing {$95000.00} going from her hand to mine. I want to see the substitute trustee recorded appointment and I want to see proof of 3434 3434 identity. I want to see the accounting for the down payment made on the property and proof she owned the property when she sold it to me. 
When I obtained legal representation and stopped the sale date, another debt collection letter came dated 34/34/3434 for a sale date of 34/34/3434. This notice contains all the same information as the previous notice except it is listing 3434 3434 name first above 3434 3434 3434 3434 Attorney in fact at 3434 3434 3434 3434 3434 in 3434 3434 , Texas . After firing the first attorney hired after the discovery of {$21000.00} in receipts missing from my receipts of payments to 3434 3434 a new hired attorney chose to conspire with 3434 3434 3434 3434 and 3434 3434 and in the printed emails left in my file that were my attorney and 3434 3434 Attorney planning and executing the sale of my home they had agreed on the figures that 3434 will have the HUD 1 payoff Mr Cooper and 3434 loans paid in full their ( your, 3434 3434 3434 3434 ) further states there is a first and second on this property Mr Cooper total payoff by 3434 3434 {$47000.00} 3434 3434 3434 payoff is {$13000.00} subtotal {$60000.00} BUT again there is language of a loan between 3434 and I in an amount said to be {$78000.00} and Mr. 3434 took the liberty of adding Attorney fees of {$5000.00} making a total of {$83000.00} these documents were emailed back and forth plan discussed of running it through the uncontested docket, signed by a judge, filed in the court records, being fully executed. But I never received any documentation of this sale. I am requesting / demanding the pay off accounting and statements and a copy of the HUD1.

Now I am needing to have the documentation and explanation of how my home was sold, if it wasnt is it fraud on the court? And AGAIN I receive another notice of substitute trustee sale dated 34/34/3434 this time the amounts are base amount due as maturity : {$88000.00} / unpaid principle past maturity ( 18 % ) {$34000.00} / subtotal {$120000.00} / Attorney Fees 3434 / Cost {$120.00} / Total due 34/34/3434 {$130000.00} It continues to read : please contact 3434 3434 3434 3434 for current payoff instructions at my address above please be advised if this payment is not received by 3434 the mortgagee will exercise the rights under the loan documents and foreclose the loan at public sale, Tuesday, 3434, 3434 at 3434. In accordance with the federal and Texas laws regarding fair debt debt collections unless you within thirty days after receipt of this notice, dispute the validity of the debt set forth above or any portionhereof the indebtedness will be assumed to be valid. This notice is signed by 3434 3434 3434 3434 Attorney for 3434 3434. Now I want to know how you, 3434 3434 3434 or and 3434 3434 can act as an Attorney in fact and harass me for months, years inducing lawsuits when an attorney in fact is not allowed to handle assets held in trust? How can you impose a debt on me of {$130000.00} and state you will respond to my letter of validation when you did not. Mailing me copies of public record court papers and passed made up accounting graphs from your home computer is not accounting. I want to see the reasoning on how you decided I owed this last mentioned notice and the removal of trustee documents recorded. You stated in this debt collection letter you would reveal the original creaditor upon my request and you did not.I mailed to you by certified letter and I faxed you the same validation letter but you not 3434 3434 responded until I received again a substitute trustee sale notice this time 2 in the same envelope? dated 34/34/3434 And 3434 3434, 3434 stating I owe {$130000.00} and contains debt collection language but you are threatening to sell my home ...., you already did once. On 34/34/3434 you sold my home to 3434 3434 for a credit bid of {$88000.00}.? I want all tax certificates and the deed of trust back I want all 3434 3434 3434 accounting and I want copies of all the escrow account. I want copies of proof you owned my home when you sold it to me 3434 3434, 3434. 
I demand documented proof that you obtained a legal confessed judgement by me. I demand documentation of the mortgage loan you have repeatedly made demands for payment of and of the investment contract you are holding / have held me liable for that I am not a party that is the Pooling and Servicing Agreement. The Statue of Frauds was made to prevent the very thing you have been doing to me. See UCC at 2-201. You have made me an undisclosed third party to a loan modification ; to a contract I am not a party to. This is why you have never been able to show my payments going to a servicing company you are sending them as cash flow to the investors. You kept using the term mortgage in your debt collection letters but a note is a security as you know, this was undisclosed to me along with a disclaimer that was supposed to be in the credit application under Title 16 16 car 433.2 which says the buyer/seller takes it subject to all defenses and claims that the buyer could assert against any transferee or any buyer who buys it. But you Took it out of the loan application. So there is no holder in due course meaning you take it subject to my claims and defenses I am claiming recoupment under UCC 3-305 under UCC 3-306 I am encoring my proprietary and possession art and property interest in the note and its proceds. Also I am encoring my right to rescind the endorsement on the note. The rider 3434 3434 made the wrap around deed of trust with modifies the conditions of payment and supplements and governs the promissory note. UCC 3-106 ( D ) it cant be negotiated instrument if it is subject or governed by extraneous documents outside the promissory note and you made it subject to an adjustable rate Ryder and a deed of trust. You can not collect an alleged debt on what you call a mortgage and sell someones property when it is not a note or a negotiable interest. It has a maturity longer than nine months making it a security. I am encoring my right to claim under UCC 3-306 the proceeds, rescuind the negotiation, and am claiming my possessionary and property right in the proceeds in the investment contract. I demand a quick response with my demands met as they are rightfully mine and more than owed to me.",,NATIONSTAR MORTGAGE,TX,78223,Consent provided,Web,4/9/20,Closed with explanation,Yes,N/A,3595729
11/22/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,Today 34/34/3434 went online to dispute the incorrect personal information and it says This request can not be processed online,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33045,Consent provided,Web,11/22/19,Closed with explanation,Yes,N/A,3446975
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33045,Other,Web,9/19/19,Closed with explanation,Yes,N/A,3379614
4/17/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,3434 is reporting incorrectly to Equifax and 3434 an account balance of {$2300.00} on the 3434 partial account number 3434. ( Please see pages 12 and 13 of the attached credit report ). This account is over 7 years old and therefore should not be on my credit report. This incorrect reporting is harming my credit score and is a Fair Credit Reporting Act ( F.C.R.A. ) violation.,,"EQUIFAX, INC.",NC,28535,Consent provided,Web,4/17/19,Closed with explanation,Yes,N/A,3214857
10/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"Please reverse the late payments reported on the following accounts : 3434 3434 3434 3434 3434 3434 3434 The accounts were never past due, I never made a late payment to this company ever please change this, I have a good relationship with these companies.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,27634,Consent provided,Web,10/24/19,Closed with explanation,Yes,N/A,3417374
6/18/20,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,,,FIFTH THIRD FINANCIAL CORPORATION,FL,24525,,Web,6/18/20,In progress,Yes,N/A,3705464
10/28/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with fraud alerts or security freezes,,"ALL THREE CREDIT BUREAUS ARE STILL PUTTING FRAUD ALERTS ON MY CREDIT REPORT WITHOUT MY PERMISSION. 

IT SEEMS 3434 IS THE ONE INITIATING THIS AND THEN TELLING THE OTHER BUREAUS TO FOLLOW THEIR LEAD.

THIS IS ILLEGAL, I HAVE NOT REQUESTED THAT ANY FRAUD ALERT BE PUT ON MY CREDIT FILE.

I CHALLENGE THEM ON THE FCRA SECTION 609 TO REMOVE NEGATIVE REMARKS, STATEMENTS AND CREDIT INQUIRIES THAT WERE SUPPOSED TO BE SOFT PULLS AND NOT HARD PULLS AND THESE BUREAUS TRY TO SLIDE PAST THE LAW AND PUT THESE BOGUS FRAUD ALERTS ON MY FILES TO JUSTIFY THEIR ILLEGAL ACTIVITIES. 

NO NEGATIVE REMARKS SHOULD BE ON ANY OF MY OPEN OR CLOSED ACCOUNTS. NO REMARKS STATING THAT CONSUMER DISAGREES, REINVESTIGATION IN PROGRESS, NOTHING THAT SAYS CONSUMER DISPUTES AS I AM AT THIS TIME NOT DISPUTING ANYTHING AND THESE REMARKS AND THESE FRAUD ALERTS ARE BEING PLACED ON MY FILES WITHOUT MY PERMISSION AND ARE AGAINST THE LAW.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CO,80920,Consent provided,Web,10/28/19,Closed with non-monetary relief,Yes,N/A,3420108
11/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33123,Other,Web,11/24/19,Closed with explanation,Yes,N/A,3448861
7/1/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"This complaint submission is in regards to a false credit report by CREDIT BUREAU ASSOCIATES -NORTHEAST INC ( 3434 3434 3434 3434 3434 , MA 3434 ). I have made attempts to rectify this matter with them directly as they have now been unresponsive. I spoke with two different representatives one particularly named 3434 3434 who was extremely rude and stated I am responsible for this debt then hung up the phone. I then spoke with another representative who gave me the fax number so I could forward them a Debt Of Validation letter, which was sent on 34/34/2019. It was confirmed through my fax machine that the Supervisor had received the files ; however, after 30 days of notifying them, still no response. I specifically asked for proof of debt and anything in signature or judgment by law stating I was obligated to pay them the total of ( {$790.00} ). Prior before sending the letter, the representative stated they have mailed me several notices to my home address. The actual letter came from the alleged original creditor which was sent to a random address I have never been associated with. The original balance on that letter states {$520.00}. CREDIT BUREAU ASSOCIATES -NORTHEAST INC stated I owed them {$790.00} with {$260.00} in collection fees. I have never made any agreement with them nor the original creditor to pay anything nor was I properly notified of this false reported debt. I am requesting CREDIT BUREAU ASSOCIATES -NORTHEAST INC immediately remove me from their systems and update all 3 major Credit Bureaus ( 3434   , 3434, & 3434  ) on this action. At this point they have failed to provide any competent evidence or any legal obligation. CREDIT BUREAU ASSOCIATES -NORTHEAST INC is currently in violation of the Fair Debt Collections Practice Act, 15 USC 1692g, and if this report is not updated immediately I will be taking legal actions.",,"CREDIT BUREAU ASSOCIATES-NORTHEAST, INC.",CA,91645,Consent provided,Web,7/1/19,Closed with explanation,Yes,N/A,3292690
